SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
506390,CLARI CHEM  ,B ,Q,330.00,340.00,322.00,324.80,324.80,329.45,252,6982,2290191.00,
523200,CLASS.DIAM. ,B ,Q,20.10,20.30,19.00,19.15,19.15,19.80,854,232171,4562543.00,
511672,CLAURS      ,B ,Q,8.03,8.03,8.03,8.03,8.03,7.65,27,57761,463820.00,
530839,CLIO INFOTEC,B ,Q,3.40,3.67,3.40,3.54,3.54,3.57,22,5367,18286.00,
505052,CLUTCH.AUTO ,S ,Q,45.20,45.20,41.30,41.60,41.60,43.05,1257,211717,9058493.00,
517326,CMC LTD.    ,B ,Q,1112.00,1154.90,1083.10,1102.50,1102.50,1101.95,729,11446,12809002.00,
500147,CMI FPE     ,TS,Q,470.00,481.25,468.00,477.00,477.00,458.35,45,4804,2290506.00,
503673,CMM BROADCAS,B ,Q,2.62,2.79,2.60,2.60,2.60,2.70,21,11151,29554.00,
523489,CMM HOSPITAL,S ,Q,8.69,8.80,8.36,8.40,8.40,8.75,9,4484,38476.00,
512018,CNI RES LTD ,T ,Q,18.15,18.15,18.15,18.15,18.15,17.30,50,36835,668555.00,
520131,COASTAL ROAD,T ,Q,11.22,11.22,11.21,11.21,11.21,11.79,3,500,5606.00,
513353,COCHIN MIN. ,S ,Q,65.90,66.00,63.00,63.40,63.40,63.40,242,20654,1331505.00,
500830,COLGATE PALM,A ,Q,630.00,630.00,612.00,615.25,615.25,615.75,863,261357,160790341.00,
531210,COLINZ LABOR,B ,Q,4.76,4.76,4.76,4.76,4.76,5.00,3,1000,4760.00,
531216,COMFORT INTE,TS,Q,117.35,121.80,113.90,120.05,120.15,116.10,433,79825,9538024.00,
526987,COMMITMENT C,B ,Q,21.46,21.46,21.46,21.46,21.46,20.44,51,21070,452162.00,
526141,COMPACT DISC,B ,Q,72.95,74.00,71.10,71.45,71.45,72.65,396,54052,3905278.00,
531041,COMPETENT AU,S ,Q,38.05,38.05,38.00,38.05,38.05,38.05,5,795,30240.00,
532688,COMPU SYSTEM,B ,Q,15.50,15.50,14.30,14.30,14.30,15.05,22,6964,103642.00,
532456,COMPUAGE INF,B ,Q,59.00,59.00,57.15,57.55,57.50,58.50,25,3248,188394.00,
532339,COMPUCOM SOF,S ,Q,13.99,14.09,13.06,13.11,13.06,13.64,118,41865,566093.00,
532363,COMP-U-LEARN,B ,Q,14.20,14.46,13.60,13.82,13.82,13.78,850,566387,8081144.00,
531224,COMPUTECH IN,B ,Q,4.28,4.28,3.97,4.00,4.00,4.00,32,15654,62677.00,
507833,COMPUTER PNT,B ,Q,4.65,4.81,4.51,4.51,4.51,4.65,9,4342,20221.00,
531474,COMPUTERSKIL,B ,Q,3.66,3.83,3.48,3.48,3.48,3.66,5,430,1539.00,
522231,CONART ENG. ,S ,Q,21.80,22.65,21.50,21.55,22.25,20.85,44,10133,222798.00,
526829,CONFI PETRO ,B ,Q,9.00,9.00,8.10,8.44,8.44,8.53,345,205801,1750722.00,
532902,CONSOL CONST,B ,Q,331.00,339.00,316.50,321.50,321.50,325.75,363,9413,3112921.00,
530067,CONSOL.SEC. ,B ,Q,65.50,65.50,62.25,62.25,62.25,65.50,4,55,3481.00,
531344,CONTAIN.CORP,A ,Q,1160.90,1171.95,1110.00,1138.90,1138.10,1142.95,308,2667,3037069.00,
531067,CONTIL I LTD,B ,Q,6.00,6.19,6.00,6.19,6.19,5.90,7,557,3428.00,
522295,CONTROL PRNT,S ,Q,30.55,31.90,29.05,29.85,29.85,30.70,144,29690,891916.00,
