Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date
103202;Franklin Templeton Fixed Tenure Fund-SeriesII (60MonthsPlan)-Growth Plan;15.6009;14.9769;15.6009;06-Aug-2009
103549;Franklin Templeton Fixed Tenure Fund-SeriesIV(60MonthsPlan)-Annual Dividend Plan;11.8474;11.3735;11.8474;06-Aug-2009
103548;Franklin Templeton Fixed Tenure Fund-SeriesIV(60MonthsPlan)-Growth Plan;13.4898;12.9502;13.4898;06-Aug-2009
106111;Templeton Fixed Horizon Fund - Series IV - Plan A - Institutional - Dividend;11.6367;11.2876;11.6367;06-Aug-2009
106112;Templeton Fixed Horizon Fund - Series IV - Plan A - Institutional - Growth;11.9180;11.5605;11.9180;06-Aug-2009
106110;Templeton Fixed Horizon Fund - Series IV - Plan A - Retail - Dividend;11.6088;11.2605;11.6088;06-Aug-2009
106109;Templeton Fixed Horizon Fund - Series IV - Plan A - Retail - Growth;11.8900;11.5333;11.8900;06-Aug-2009
109524;Templeton Fixed Horizon Fund - Series IX - Plan D - Dividend;11.0765;10.7996;11.0765;06-Aug-2009
109525;Templeton Fixed Horizon Fund - Series IX - Plan D - Growth;11.0765;10.7996;11.0765;06-Aug-2009
109621;Templeton Fixed Horizon Fund - Series IX - Plan E - Dividend;11.1794;10.8440;11.1794;06-Aug-2009
109622;Templeton Fixed Horizon Fund - Series IX - Plan E - Growth;11.1794;10.8440;11.1794;06-Aug-2009
110088;Templeton Fixed Horizon Fund - Series XI - Plan G - 19 Months Plan - Dividend;11.1866;10.8510;11.1866;06-Aug-2009
110087;Templeton Fixed Horizon Fund - Series XI - Plan G - 19 Months Plan - Growth;11.1866;10.8510;11.1866;06-Aug-2009
110299;Templeton Fixed Horizon Fund - Series XI - Plan H - 19 Months Plan - Dividend;11.1891;10.8534;11.1891;06-Aug-2009
110300;Templeton Fixed Horizon Fund - Series XI - Plan H - 19 Months Plan - Growth;11.1891;10.8534;11.1891;06-Aug-2009
109875;Templeton Fixed Horizon Fund – Series XI – Plan B - Dividend;11.0580;10.7816;11.0580;06-Aug-2009
109874;Templeton Fixed Horizon Fund – Series XI – Plan B - Growth;11.0580;10.7816;11.0580;06-Aug-2009
110137;Templeton Fixed Horizon Fund – Series XI – Plan C (367 days plan) - Dividend;10.9813;10.7068;10.9813;06-Aug-2009
