SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
531474,COMPUTERSKIL,B ,Q,2.08,2.08,2.06,2.06,2.06,2.16,3,1000,2073.00,
522231,CONART ENG. ,S ,Q,9.90,9.90,9.00,9.00,9.00,9.46,12,1100,10006.00,
526829,CONFI PETRO ,B ,Q,9.00,9.00,8.45,8.52,8.52,8.86,225,209156,1814937.00,
532902,CONSOL CONST,B ,Q,144.50,144.50,140.05,141.05,141.05,142.60,43,2758,392539.00,
530067,CONSOL.SEC. ,B ,Q,22.85,22.85,22.85,22.85,22.85,24.00,1,100,2285.00,
531344,CONTAIN.CORP,A ,Q,797.15,809.90,797.15,808.05,808.05,799.45,37,430,346653.00,
532397,CONTECH SOFT,B ,Q,10.00,10.00,9.80,10.00,10.00,10.12,14,4225,42115.00,
531460,CONTI.CONTRL,T ,Q,3.30,3.46,3.15,3.15,3.15,3.30,5,67,224.00,
531067,CONTIL I LTD,B ,Q,5.10,5.11,5.00,5.11,5.11,4.87,18,2826,14382.00,
522295,CONTROL PRNT,S ,Q,24.75,24.75,24.75,24.75,24.75,25.30,1,100,2475.00,
531556,CORAL (I)FIN,B ,Q,11.00,11.00,11.00,11.00,11.00,11.50,1,12,132.00,
532941,CORDS CABLE ,B ,Q,36.10,37.60,36.10,36.35,36.35,36.70,8,350,12761.00,
509009,CORE EMBALL.,T ,Q,9.35,9.35,9.35,9.35,9.35,9.40,1,250,2337.00,
512199,CORE PROJECT,B ,Q,107.00,107.00,103.00,104.00,104.00,106.25,2580,324784,34011834.00,
506395,COROMA.FERT.,B ,Q,145.00,148.90,140.05,141.35,141.35,142.85,360,13322,1909777.00,
532179,CORPN.BANK  ,A ,Q,239.00,239.00,230.00,231.40,232.00,230.50,185,5549,1289889.00,
523100,COSMO FERR. ,S ,Q,7.09,7.09,7.09,7.09,7.09,6.45,1,1,7.00,
508814,COSMO FILMS ,B ,Q,76.40,77.35,74.10,74.45,74.45,75.95,162,7082,535728.00,
526550,COUNTRY CLUB,B ,Q,15.05,15.45,14.85,15.00,15.00,15.00,402,71256,1076967.00,
523415,COVENTRY COI,B ,Q,12.50,12.50,11.95,11.95,11.95,12.10,2,201,2511.00,
512093,CRANES SOFTW,B ,Q,41.25,42.80,40.55,40.70,40.60,41.40,139,10671,444708.00,
522001,CRANEX LTD. ,B ,Q,2.27,2.28,2.27,2.27,2.27,2.38,7,8000,18210.00,
524388,CRAZY INFOTE,T ,Q,2.23,2.23,2.23,2.23,2.23,2.13,50,93310,208081.00,
532392,CREATIVE EYE,T ,Q,6.27,6.81,6.26,6.69,6.80,6.49,47,20939,141058.00,
526785,CREST ANIM  ,T ,Q,18.20,18.20,17.10,17.60,17.50,17.75,70,19310,339621.00,
532542,CREW BOS    ,B ,Q,23.00,27.45,22.70,25.85,25.85,23.10,803,84702,2188414.00,
500092,CRISIL LTD  ,B ,Q,2920.00,2930.00,2900.40,2920.10,2920.00,2895.00,33,247,721560.00,
500093,CROMPT.GREAV,A ,Q,167.00,172.45,166.10,168.00,168.00,165.45,4105,1246292,209880263.00,
590050,CSS TECH    ,S ,Q,11.05,11.05,11.00,11.00,11.00,11.20,2,1100,12105.00,
526027,CUBEX TUBING,T ,Q,12.95,13.02,12.95,13.01,13.00,12.40,43,14567,189505.00,
511710,CUBICAL FIN.,B ,Q,8.20,8.20,8.20,8.20,8.20,8.60,1,700,5740.00,
